"Club ID", "Runner", "Distance", "Runs"
"204946","🐝 山.","95.1319001","14"
"241951","Feng Q.","87.9239965","7"
"241951","Jun W.","82.14524619999999","7"
"204946","Bruin1996 R.","82.0831091","18"
"241951","victor k.","80.4675445","9"
"176328","Haiyong L.","75.9315362","13"
"175314","YP Z.","73.8188748","7"
"176328","J Z.","71.9547618","6"
"204946","David Y.","69.4071407","8"
"175314","SK M.","65.865326","9"
"176328","Peter Z.","64.9332695","7"
"204946","Jay J.","63.1934307","7"
"204946","Connie Z.","62.820608099999994","9"
"204946","ZHAOJIAN W.","60.4593983","7"
"204946","Patrick (Ray) H.","60.335124099999994","10"
"176328","Zhiren Z.","58.3467369","6"
"176328","Yu L.","56.358349700000005","5"
"175314","Sherry M.","55.4262932","7"
"241951","Rebecca C.","54.432099599999994","7"
"241951","Richard Y.","53.5000431","6"
"204946","Guangwei M.","53.2514947","5"
"175314","Ping Y.","52.630123700000006","8"
"241951","Jing W.","52.3194382","6"
"176328","Yi Z.","52.0087527","8"
"176328","wilson z.","52.0087527","7"
"241951","Patrick (Ray) H.","51.635930099999996","9"
"241951","Frank L.","50.952422","4"
"241951","David W.","50.7660107","7"
"241951","胖 猫.","50.6417365","6"
"204946","Lucas Z.","50.331051","9"
"175314","Luis C.","49.33685740000001","5"
"241951","Liyi G.","49.2747203","6"
"241951","Hong J.","48.7154864","7"
"241951","Pearl L.","48.2805267","5"
"241951","Shenghua H.","47.7212928","8"
"241951","Jane X.","47.3484702","5"
"176328","Shufan W.","47.3484702","7"
"241951","Michael Y.","46.230002400000004","7"
"204946","Gan L.","46.1057282","5"
"175314","Cynthia W.","46.0435911","7"
"204946","Jing W.","45.8571798","4"
"204946","Elise L.","45.6707685","5"
"204946","Bi C.","45.60863140000001","6"
"204946","Junyi C.","45.60863140000001","5"
"241951","Dave T.","45.5464943","4"
"204946","James Z.","44.676574900000006","7"
"204946","薇笑 W.","44.241615200000005","3"
"204946","James C.","42.8124619","5"
"241951","Sherry s.","42.501776400000004","8"
"204946","Xiao Philip Y.","42.253228","5"
